EPOCH: Train_Loss: Eval_Loss: Eval_iou: Eval_PA:
1 0.076068 0.254056 0.000000 0.969581
2 0.049389 0.062154 0.137928 0.973759
3 0.043468 0.047392 0.393373 0.981305
4 0.039092 0.037108 0.652723 0.988691
5 0.036382 0.035294 0.704744 0.991262
6 0.033933 0.032873 0.695771 0.991340
7 0.033320 0.037901 0.711456 0.990080
8 0.031900 0.032223 0.729277 0.992227
9 0.030759 0.032721 0.665379 0.990766
10 0.029900 0.031434 0.679737 0.991257
11 0.028995 0.035583 0.720782 0.991016
12 0.028015 0.030558 0.704273 0.992051
13 0.027419 0.033882 0.734328 0.991947
14 0.026860 0.029855 0.708022 0.992344
15 0.025969 0.030103 0.749677 0.993207
16 0.025684 0.029947 0.748784 0.993361
17 0.024820 0.030361 0.699210 0.992016
18 0.024653 0.029926 0.744139 0.993231
19 0.024253 0.030170 0.740170 0.993160
20 0.023638 0.031205 0.747787 0.992925
21 0.023085 0.030329 0.738824 0.993269
22 0.022636 0.029894 0.748671 0.993175
23 0.022431 0.030235 0.750523 0.993311
24 0.021992 0.030314 0.743662 0.993178
25 0.021654 0.031555 0.745932 0.993231
26 0.021345 0.032338 0.741860 0.993473
27 0.021166 0.031261 0.745844 0.993469
28 0.020836 0.033520 0.736679 0.993042
29 0.020540 0.032113 0.746692 0.993256
30 0.020317 0.032265 0.733931 0.993223
31 0.020152 0.032887 0.736078 0.993097
32 0.019888 0.033603 0.754286 0.993459
33 0.019754 0.032668 0.750148 0.993231
34 0.019548 0.034570 0.740083 0.993231
35 0.019372 0.033544 0.734649 0.993026
